12/6/2021:16:19:52 | ::1 | DELETE | /product/29 | 200 | {"message":"Data deleted successfully"}
12/6/2021:16:24:34 | ::1 | POST | /product/category | 200 | {"message":"New data successfully added"}
12/6/2021:16:27:24 | ::1 | PUT | /product/category | 200 | {"error":true,"message":"Category ID not found!"}
12/6/2021:16:27:34 | ::1 | GET | /product/category | 200 | [{"id":"34","name":"kaos","image":"public/images/category/2021-07-12T09:24:34.352Z-user.png","create_at":"2021-07-12T09:24:34.361Z","update_at":"2021-07-12T09:24:34.361Z"},{"id":"6","name":"Pants","image":"image.jpg","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-05T05:51:36.831Z"},{"id":"5","name":"Jacket","image":"image.jpg","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-05T05:51:20.717Z"},{"id":"4","name":"Shorts","image":"image.jpg","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-05T05:50:56.986Z"},{"id":"3","name":"T-Shirt","image":"image.jpg","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-05T05:49:39.133Z"}]
12/6/2021:16:27:48 | ::1 | PUT | /product/category | 200 | {"message":"Data successfully changed"}
12/6/2021:16:28:26 | ::1 | GET | /product/category | 200 | [{"id":"34","name":"kaos oblong","image":"public/images/category/2021-07-12T09:27:48.185Z-user.png","create_at":"2021-07-12T09:24:34.361Z","update_at":"2021-07-12T09:27:48.202Z"},{"id":"6","name":"Pants","image":"image.jpg","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-05T05:51:36.831Z"},{"id":"5","name":"Jacket","image":"image.jpg","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-05T05:51:20.717Z"},{"id":"4","name":"Shorts","image":"image.jpg","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-05T05:50:56.986Z"},{"id":"3","name":"T-Shirt","image":"image.jpg","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-05T05:49:39.133Z"}]
12/6/2021:16:28:36 | ::1 | GET | /product/category | 200 | [{"id":"34","name":"kaos oblong","image":"public/images/category/2021-07-12T09:27:48.185Z-user.png","create_at":"2021-07-12T09:24:34.361Z","update_at":"2021-07-12T09:27:48.202Z"},{"id":"6","name":"Pants","image":"image.jpg","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-05T05:51:36.831Z"},{"id":"5","name":"Jacket","image":"image.jpg","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-05T05:51:20.717Z"},{"id":"4","name":"Shorts","image":"image.jpg","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-05T05:50:56.986Z"},{"id":"3","name":"T-Shirt","image":"image.jpg","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-05T05:49:39.133Z"}]
12/6/2021:16:28:41 | ::1 | PUT | /product/category | 200 | {"message":"Data successfully changed"}
12/6/2021:16:28:44 | ::1 | GET | /product/category | 200 | [{"id":"34","name":"kaos oblong","image":"public/images/category/2021-07-12T09:28:41.855Z-user.png","create_at":"2021-07-12T09:24:34.361Z","update_at":"2021-07-12T09:28:41.873Z"},{"id":"6","name":"Pants","image":"image.jpg","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-05T05:51:36.831Z"},{"id":"5","name":"Jacket","image":"image.jpg","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-05T05:51:20.717Z"},{"id":"4","name":"Shorts","image":"image.jpg","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-05T05:50:56.986Z"},{"id":"3","name":"T-Shirt","image":"image.jpg","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-05T05:49:39.133Z"}]
12/6/2021:16:29:01 | ::1 | GET | /product/category | 200 | [{"id":"34","name":"kaos oblong","image":"public/images/category/2021-07-12T09:28:41.855Z-user.png","create_at":"2021-07-12T09:24:34.361Z","update_at":"2021-07-12T09:28:41.873Z"},{"id":"6","name":"Pants","image":"image.jpg","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-05T05:51:36.831Z"},{"id":"5","name":"Jacket","image":"image.jpg","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-05T05:51:20.717Z"},{"id":"4","name":"Shorts","image":"image.jpg","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-05T05:50:56.986Z"},{"id":"3","name":"T-Shirt","image":"image.jpg","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-05T05:49:39.133Z"}]
12/6/2021:16:29:06 | ::1 | PUT | /product/category | 200 | {"message":"Data successfully changed"}
12/6/2021:16:29:16 | ::1 | PUT | /product/category | 200 | {"error":true,"message":"Category ID not found!"}
12/6/2021:16:29:25 | ::1 | PUT | /product/category | 200 | {"message":"Data successfully changed"}
12/6/2021:16:29:37 | ::1 | PUT | /product/category | 200 | {"message":"Data successfully changed"}
12/6/2021:16:29:41 | ::1 | GET | /product/category | 200 | [{"id":"34","name":"kaos","image":"public/images/category/2021-07-12T09:29:37.384Z-user.png","create_at":"2021-07-12T09:24:34.361Z","update_at":"2021-07-12T09:29:37.405Z"},{"id":"6","name":"Pants","image":"image.jpg","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-05T05:51:36.831Z"},{"id":"5","name":"Jacket","image":"image.jpg","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-05T05:51:20.717Z"},{"id":"4","name":"Shorts","image":"image.jpg","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-05T05:50:56.986Z"},{"id":"3","name":"T-Shirt","image":"image.jpg","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-05T05:49:39.133Z"}]
12/6/2021:16:29:49 | ::1 | DELETE | /product/category/34 | 200 | {"message":"Data deleted successfully"}
